Year,Month,Harbor name,Ship count,Weight
2010,12,옥계,6,"142,936"
2010,12,호산,0,0
2010,12,대산,124,"3,248,111"
2010,12,보령,7,"337,470"
2010,12,태안,8,"342,702"
2010,12,군산,98,"2,593,669"
2010,12,장항,10,"26,564"
2010,12,목포,73,"1,527,037"
2010,12,완도,0,0
2010,12,여수,117,"3,699,222"
2010,12,광양,614,"17,186,497"
2010,12,포항,245,"2,962,170"
2010,12,마산,139,"2,353,715"
2010,12,삼천포,11,"405,329"
2010,12,옥포,8,"40,228"
2010,12,장승포,0,0
2010,12,진해,15,"149,334"
2010,12,통영,27,"24,279"
2010,12,고현,7,"49,284"
2010,12,하동,11,"591,414"
2010,12,울산,689,"11,982,906"
2010,12,제주,10,"116,703"
2010,12,서귀포,0,0
2010,12,기타,0,0
2011,1,부산,"1,721","35,046,137"
2011,1,인천,722,"12,026,449"
2011,1,평택.당진,338,"8,936,981"
2011,1,경인항,0,0
2011,1,동해.묵호,90,"990,986"
2011,1,삼척,10,"17,387"
2011,1,속초,4,"1,830"
2011,1,옥계,8,"195,543"
2011,1,호산,0,0
2011,1,대산,148,"3,933,336"
2011,1,보령,12,"609,495"
2011,1,태안,17,"804,405"
2011,1,군산,134,"3,164,202"
2011,1,장항,5,"9,411"
2011,1,목포,82,"1,756,526"
2011,1,완도,1,498
2011,1,여수,146,"3,587,790"
2011,1,광양,600,"17,319,343"
2011,1,포항,268,"3,354,194"
2011,1,마산,148,"2,455,379"
2011,1,삼천포,12,"537,682"
2011,1,옥포,12,"62,192"
2011,1,장승포,0,0
2011,1,진해,17,"122,474"
2011,1,통영,19,"15,881"
2011,1,고현,8,"37,744"
2011,1,하동,15,"693,675"
2011,1,울산,730,"13,325,477"
2011,1,제주,17,"206,655"
2011,1,서귀포,0,0
2011,1,기타,0,0
2011,2,부산,"1,485","30,661,160"
2011,2,인천,576,"10,143,908"
2011,2,평택.당진,310,"7,197,697"
2011,2,경인항,0,0
2011,2,동해.묵호,83,"1,108,327"
2011,2,삼척,6,"10,227"
2011,2,속초,0,0
2011,2,옥계,6,"168,759"
2011,2,호산,0,0
2011,2,대산,121,"3,116,931"
2011,2,보령,9,"440,839"
2011,2,태안,12,"574,047"
2011,2,군산,119,"2,434,888"
2011,2,장항,0,0
2011,2,목포,50,"1,088,975"
2011,2,완도,1,396
2011,2,여수,114,"3,698,740"
2011,2,광양,591,"16,236,896"
2011,2,포항,220,"2,582,342"
2011,2,마산,134,"2,202,994"
2011,2,삼천포,13,"517,271"
2011,2,옥포,7,"26,014"
2011,2,장승포,0,0
2011,2,진해,10,"106,135"
2011,2,통영,15,"9,313"
2011,2,고현,9,"32,605"
2011,2,하동,13,"682,590"
2011,2,울산,700,"11,716,683"
2011,2,제주,9,"109,752"
2011,2,서귀포,0,0
2011,2,기타,0,0
2011,3,부산,"1,768","37,019,087"
2011,3,인천,631,"10,796,436"
2011,3,평택.당진,375,"9,929,576"
2011,3,경인항,0,0
2011,3,동해.묵호,84,"988,933"
2011,3,삼척,10,"16,814"
2011,3,속초,1,286
2011,3,옥계,7,"182,890"
2011,3,호산,0,0
2011,3,대산,113,"3,407,027"
2011,3,보령,12,"560,717"
2011,3,태안,12,"597,464"
2011,3,군산,122,"2,695,503"
2011,3,장항,6,"13,327"
2011,3,목포,84,"1,618,446"
2011,3,완도,1,396
2011,3,여수,119,"3,739,398"
2011,3,광양,682,"18,342,503"
2011,3,포항,279,"3,677,209"
2011,3,마산,151,"2,209,465"
2011,3,삼천포,11,"440,311"
2011,3,옥포,8,"34,623"
2011,3,장승포,0,0
2011,3,진해,18,"181,218"
2011,3,통영,19,"23,885"
2011,3,고현,12,"18,101"
2011,3,하동,9,"479,336"
2011,3,울산,757,"13,782,372"
2011,3,제주,11,"165,643"
2011,3,서귀포,0,0
2011,3,기타,0,0
2011,4,부산,"1,752","37,198,871"
2011,4,인천,594,"10,252,987"
2011,4,평택.당진,380,"7,921,102"
2011,4,경인항,0,0
2011,4,동해.묵호,94,"1,086,965"
2011,4,삼척,9,"14,665"
2011,4,속초,12,"25,607"
2011,4,옥계,8,"143,828"
2011,4,호산,0,0
2011,4,대산,101,"2,929,954"
2011,4,보령,9,"445,538"
2011,4,태안,10,"489,801"
2011,4,군산,121,"2,844,700"
2011,4,장항,4,"10,630"
2011,4,목포,66,"1,204,951"
2011,4,완도,0,0
2011,4,여수,105,"3,533,944"
2011,4,광양,647,"18,634,120"
