,Year,Month,Harbor name,Ship count,Weight
229,2010,08,동해.묵호,76,"928,788"
230,2010,08,삼척,8,"14,741"
231,2010,08,속초,20,"118,482"
232,2010,08,옥계,3,"80,491"
233,2010,08,호산,0,0
234,2010,08,대산,139,"2,994,238"
235,2010,08,보령,9,"451,155"
236,2010,08,태안,15,"703,016"
237,2010,08,군산,96,"2,197,160"
238,2010,08,장항,4,"8,197"
239,2010,08,목포,83,"1,598,713"
240,2010,08,완도,0,0
241,2010,08,여수,118,"3,392,090"
242,2010,08,광양,602,"16,548,469"
243,2010,08,포항,256,"3,064,874"
244,2010,08,마산,131,"2,040,470"
245,2010,08,삼천포,5,"235,203"
246,2010,08,옥포,9,"181,247"
247,2010,08,장승포,0,0
248,2010,08,진해,18,"124,979"
249,2010,08,통영,30,"19,928"
250,2010,08,고현,7,"56,033"
251,2010,08,하동,12,"606,123"
252,2010,08,울산,711,"12,733,832"
253,2010,08,제주,19,"459,305"
254,2010,08,서귀포,0,0
255,2010,08,기타,0,0
256,2010,09,항만명,"4,953","99,665,600"
257,2010,09,부산,"1,652","34,221,880"
258,2010,09,인천,593,"9,857,623"
259,2010,09,평택.당진,304,"6,731,531"
260,2010,09,경인항,0,0
261,2010,09,동해.묵호,91,"974,443"
262,2010,09,삼척,4,"7,588"
263,2010,09,속초,52,"96,981"
264,2010,09,옥계,6,"98,553"
265,2010,09,호산,0,0
266,2010,09,대산,132,"3,343,321"
267,2010,09,보령,10,"493,780"
268,2010,09,태안,11,"565,098"
269,2010,09,군산,125,"2,874,996"
270,2010,09,장항,5,"8,843"
271,2010,09,목포,77,"1,685,888"
272,2010,09,완도,1,895
273,2010,09,여수,107,"3,055,096"
274,2010,09,광양,602,"16,186,770"
275,2010,09,포항,264,"2,699,539"
276,2010,09,마산,118,"2,117,040"
277,2010,09,삼천포,10,"511,823"
278,2010,09,옥포,9,"39,042"
279,2010,09,장승포,0,0
280,2010,09,진해,20,"154,431"
281,2010,09,통영,25,"16,828"
282,2010,09,고현,7,"44,826"
283,2010,09,하동,8,"474,131"
284,2010,09,울산,696,"12,660,602"
285,2010,09,제주,24,"744,052"
286,2010,09,서귀포,0,0
287,2010,09,기타,0,0
288,2010,10,항만명,"5,101","102,659,173"
289,2010,10,부산,"1,730","34,932,870"
290,2010,10,인천,622,"10,389,735"
291,2010,10,평택.당진,350,"7,937,811"
292,2010,10,경인항,0,0
293,2010,10,동해.묵호,86,"1,105,083"
294,2010,10,삼척,7,"12,118"
295,2010,10,속초,32,"23,724"
296,2010,10,옥계,5,"125,914"
297,2010,10,호산,0,0
298,2010,10,대산,140,"3,051,382"
299,2010,10,보령,9,"454,553"
300,2010,10,태안,10,"542,008"
301,2010,10,군산,123,"2,936,046"
302,2010,10,장항,6,"12,044"
303,2010,10,목포,83,"1,851,911"
304,2010,10,완도,2,940
305,2010,10,여수,116,"3,109,142"
306,2010,10,광양,598,"16,843,310"
307,2010,10,포항,273,"2,870,159"
