,Ship Company,Enter Time,Out Time,Duration days,Duration hours,Total duration(Hours),Day difference
92,DJS,2012-09-24 21:30:00,2012-09-25 04:00:00,1,17:30:00,41,-1 days +17:30:00
93,SKR,2012-09-25 17:00:00,2012-09-25 20:00:00,1,21:00:00,45,-1 days +21:00:00
94,DJS,2012-09-28 20:00:00,2012-09-28 23:29:00,1,20:31:00,44,-1 days +20:31:00
95,SKR,2012-09-29 12:30:00,2012-09-29 14:10:00,1,22:20:00,46,-1 days +22:20:00
96,DJS,2012-10-05 20:00:00,2012-10-05 22:30:00,1,21:30:00,45,-1 days +21:30:00
97,DJS,2012-10-08 20:20:00,2012-10-09 03:00:00,1,17:20:00,41,-1 days +17:20:00
98,SKR,2012-10-09 16:00:00,2012-10-09 19:30:00,1,20:30:00,44,-1 days +20:30:00
99,DJS,2012-10-12 20:10:00,2012-10-13 01:00:00,1,19:10:00,43,-1 days +19:10:00
100,SKR,2012-10-13 15:20:00,2012-10-13 17:00:00,1,22:20:00,46,-1 days +22:20:00
101,SKR,2012-10-16 16:00:00,2012-10-16 20:00:00,1,20:00:00,44,-1 days +20:00:00
102,DJS,2012-10-19 21:00:00,2012-10-20 02:00:00,1,19:00:00,43,-1 days +19:00:00
103,DJS,2012-10-21 10:10:00,2012-10-22 02:00:00,1,08:10:00,32,-1 days +08:10:00
104,DJS,2012-10-22 23:00:00,2012-10-23 02:50:00,1,20:10:00,44,-1 days +20:10:00
105,SKR,2012-10-23 16:00:00,2012-10-23 19:00:00,1,21:00:00,45,-1 days +21:00:00
106,DJS,2012-10-26 20:00:00,2012-10-27 03:00:00,1,17:00:00,41,-1 days +17:00:00
107,SKR,2012-10-27 15:00:00,2012-10-27 18:00:00,1,21:00:00,45,-1 days +21:00:00
108,DJS,2012-10-29 21:00:00,2012-10-30 03:00:00,1,18:00:00,42,-1 days +18:00:00
109,SKR,2012-10-30 16:20:00,2012-10-30 22:00:00,1,18:20:00,42,-1 days +18:20:00
110,DJS,2012-11-03 03:00:00,2012-11-03 09:00:00,1,18:00:00,42,-1 days +18:00:00
111,DJS,2012-11-05 21:10:00,2012-11-06 05:00:00,1,16:10:00,40,-1 days +16:10:00
112,SKR,2012-11-06 20:40:00,2012-11-06 23:59:00,1,20:41:00,44,-1 days +20:41:00
113,DJS,2012-11-10 02:50:00,2012-11-10 06:00:00,1,20:50:00,44,-1 days +20:50:00
114,SKR,2012-11-10 10:40:00,2012-11-10 13:00:00,1,21:40:00,45,-1 days +21:40:00
115,DJS,2012-11-12 19:30:00,2012-11-13 02:00:00,1,17:30:00,41,-1 days +17:30:00
116,SKR,2012-11-13 18:20:00,2012-11-13 20:30:00,1,21:50:00,45,-1 days +21:50:00
117,DJS,2012-11-17 01:00:00,2012-11-17 06:00:00,1,19:00:00,43,-1 days +19:00:00
118,SKR,2012-11-17 12:10:00,2012-11-17 16:00:00,1,20:10:00,44,-1 days +20:10:00
119,DJS,2012-11-19 20:00:00,2012-11-20 03:00:00,1,17:00:00,41,-1 days +17:00:00
120,SKR,2012-11-20 15:20:00,2012-11-20 19:20:00,1,20:00:00,44,-1 days +20:00:00
121,DJS,2012-11-23 09:00:00,2012-11-23 14:10:00,1,18:50:00,42,-1 days +18:50:00
122,SKR,2012-11-24 12:20:00,2012-11-24 15:00:00,1,21:20:00,45,-1 days +21:20:00
123,DJS,2012-11-27 01:25:00,2012-11-27 05:30:00,1,19:55:00,43,-1 days +19:55:00
124,SKR,2012-11-27 18:40:00,2012-11-27 22:00:00,1,20:40:00,44,-1 days +20:40:00
125,SKR,2012-11-30 07:00:00,2012-11-30 09:00:00,1,22:00:00,46,-1 days +22:00:00
126,DJS,2012-11-30 20:20:00,2012-12-01 04:00:00,1,16:20:00,40,-1 days +16:20:00
127,SKR,2012-12-01 15:20:00,2012-12-01 18:00:00,1,21:20:00,45,-1 days +21:20:00
128,DJS,2012-12-03 22:00:00,2012-12-04 03:00:00,1,19:00:00,43,-1 days +19:00:00
129,SKR,2012-12-04 17:10:00,2012-12-04 21:00:00,1,20:10:00,44,-1 days +20:10:00
130,SKR,2012-12-07 11:10:00,2012-12-07 13:00:00,1,22:10:00,46,-1 days +22:10:00
131,DJS,2012-12-08 22:00:00,2012-12-09 03:20:00,1,18:40:00,42,-1 days +18:40:00
132,SKR,2012-12-09 07:00:00,2012-12-09 12:00:00,1,19:00:00,43,-1 days +19:00:00
133,DJS,2012-12-10 20:30:00,2012-12-11 03:00:00,1,17:30:00,41,-1 days +17:30:00
134,SKR,2012-12-11 19:00:00,2012-12-11 22:00:00,1,21:00:00,45,-1 days +21:00:00
